    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.18s
     Running unittests src\lib.rs (C:\Users\bajra\.codex-target\nbsr-p1f\debug\deps\nbsr_transport-e554f6a20969ada2.exe)
P1F_SOAK elapsed_ms=78000 attempts=2690636 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=79000 attempts=2723211 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=80000 attempts=2758370 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=81000 attempts=2793589 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=82000 attempts=2828760 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=83000 attempts=2864447 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=84000 attempts=2899368 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=85000 attempts=2934506 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=86000 attempts=2969947 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=87000 attempts=3005159 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=88000 attempts=3040329 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=89000 attempts=3075780 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=90000 attempts=3111082 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=91000 attempts=3146496 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=92000 attempts=3182213 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=93000 attempts=3217656 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=94000 attempts=3252983 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=95000 attempts=3288180 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=96000 attempts=3323328 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=97000 attempts=3358135 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=98000 attempts=3393278 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=99000 attempts=3428557 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=100000 attempts=3463946 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=101000 attempts=3499892 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=102000 attempts=3535122 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=103000 attempts=3570682 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=104000 attempts=3606117 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=105000 attempts=3641519 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=106000 attempts=3676978 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=107000 attempts=3712543 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=108000 attempts=3748168 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=109000 attempts=3783707 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=110000 attempts=3819003 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=111000 attempts=3854489 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=112000 attempts=3889614 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=113000 attempts=3924678 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=114000 attempts=3959923 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=115000 attempts=3995764 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=116000 attempts=4031027 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=117000 attempts=4065799 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=118000 attempts=4101236 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=119000 attempts=4137039 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=120000 attempts=4172777 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=121000 attempts=4207963 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=122000 attempts=4243385 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=123000 attempts=4278894 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=124000 attempts=4314101 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=125000 attempts=4349417 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=126000 attempts=4384585 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=127000 attempts=4419828 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=128000 attempts=4455202 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=129000 attempts=4490603 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=130000 attempts=4525187 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=131000 attempts=4559096 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=132000 attempts=4594910 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=133000 attempts=4629948 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=134000 attempts=4665007 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=135000 attempts=4700229 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=136000 attempts=4734750 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=137000 attempts=4769903 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=138000 attempts=4805370 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=139000 attempts=4840668 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=140000 attempts=4875782 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=141000 attempts=4910868 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=142000 attempts=4945936 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=143000 attempts=4980998 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=144000 attempts=5015943 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=145000 attempts=5051808 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=146000 attempts=5087432 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=147000 attempts=5122803 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=148000 attempts=5158662 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=149000 attempts=5193883 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=150000 attempts=5229205 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=151000 attempts=5264268 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=152000 attempts=5299500 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=153000 attempts=5334632 entries=10000 capacity=14336
